user_id,sub_id,cost,start_date,recurring_length,alert_id,sort_group,user_notes,cancelled,rating
1,16,2,2021-1-4,monthly,1,music,This is a note for user 1 subscription 1.,False,4
1,17,2,2021-1-23,monthly,1,music,This is a note for user 1 subscription 2.,False,5
1,21,4,2021-8-17,monthly,1,games,This is a note for user 1 subscription 3.,False,5
1,6,16,2021-11-13,monthly,1,tv and movies,This is a note for user 1 subscription 4.,False,5
2,32,9,2021-12-25,monthly,1,books,This is a note for user 2 subscription 1.,False,4
2,33,8,2021-8-12,monthly,1,books,This is a note for user 2 subscription 2.,False,5
2,34,5,2021-8-4,monthly,1,books,This is a note for user 2 subscription 3.,False,1
2,6,16,2021-4-16,monthly,1,tv and movies,This is a note for user 2 subscription 4.,False,4
2,39,11,2021-7-1,monthly,1,food,This is a note for user 2 subscription 5.,False,4
2,21,1,2021-2-22,monthly,1,games,This is a note for user 2 subscription 6.,False,5
2,24,2,2021-4-16,monthly,1,games,This is a note for user 2 subscription 7.,False,4
2,31,16,2021-12-8,monthly,1,books,This is a note for user 2 subscription 8.,False,4
3,34,10,2021-4-22,monthly,1,books,This is a note for user 3 subscription 1.,False,3
3,4,17,2021-11-26,monthly,1,tv and movies,This is a note for user 3 subscription 2.,False,4
3,5,13,2021-4-19,monthly,1,tv and movies,This is a note for user 3 subscription 3.,False,3
3,7,4,2021-5-20,monthly,1,tv and movies,This is a note for user 3 subscription 4.,False,4
3,40,19,2021-2-21,monthly,1,food,This is a note for user 3 subscription 5.,False,5
3,9,13,2021-1-5,monthly,1,tv and movies,This is a note for user 3 subscription 6.,False,3
3,10,17,2021-1-10,monthly,1,tv and movies,This is a note for user 3 subscription 7.,False,3
3,16,16,2021-9-19,monthly,1,music,This is a note for user 3 subscription 8.,False,2
4,1,1,2021-1-21,monthly,1,tv and movies,This is a note for user 4 subscription 1.,False,3
4,33,19,2021-3-21,monthly,1,books,This is a note for user 4 subscription 2.,False,4
4,4,4,2021-4-22,monthly,1,tv and movies,This is a note for user 4 subscription 3.,False,5
4,7,8,2021-8-7,monthly,1,tv and movies,This is a note for user 4 subscription 4.,False,5
